legajo;estado_civil;carrera;carrera_grado;sede;anio_ingreso;horas_trabajadas;masculino;femenino;edad_ingreso;colegio_publico;argentino;activo_primer_anio;activo_segundo_anio;estado;promedio_1er_anio;anios_en_unlu;aprobadas_1er_anio;anios_cursados;c_promociones_1er_anio;c_libres_1er_anio;c_regulares_1er_anio;c_ausentes_1er_anio;c_noausentes_1er_anio;cursadas_ap_1er_anio;cursadas_1er_anio;cambio_universidad;cambio_carrera;progresar_2016;fracaso_academico;activo_2017
26;SOLTERO/A;PROFESORADO EN HISTORIA;1;SEDE LUJAN;2014;45;0;1;30;0;1;1;0;LIBRE;7;1;1;1;1;0;1;1;2;2;3;0;0;0;0;0
27;SOLTERO/A;LIC. EN COMERCIO INTERNACIONAL;1;SEDE LUJAN;2014;48;1;0;23;0;1;1;1;REGULAR;7,33;4;3;3;2;1;1;1;4;3;5;0;0;0;0;1
28;SOLTERO/A;CONTADOR PUBLICO;1;C.R. CAMPANA;2014;20;1;0;24;1;1;1;0;LIBRE;8,5;1;2;1;2;0;1;5;3;3;8;1;0;0;0;0
29;CASADO/A;LICENCIATURA EN TRABAJO SOCIAL;1;SEDE LUJAN;2014;0;0;1;35;0;1;1;0;LIBRE;-;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0
30;SOLTERO/A;CONTADOR PUBLICO;1;C.R. CHIVILCOY;2014;60;0;1;21;1;1;1;0;LIBRE/INHABILITADO;-;1;0;1;0;0;1;0;1;1;1;0;0;0;0;0
31;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;SEDE LUJAN;2014;48;1;0;50;0;1;1;0;LIBRE;-;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0
32;DIVORCIADO/A;LICENCIATURA EN TRABAJO SOCIAL;1;SEDE LUJAN;2014;40;0;1;47;1;1;1;0;LIBRE;8,5;1;2;1;2;0;2;3;5;4;8;0;0;0;0;0
33;CASADO/A;PROFESORADO EN GEOGRAFIA;1;C.R. SAN MIGUEL;2014;72;0;1;39;0;1;1;1;REGULAR;9;4;6;3;6;0;0;0;6;6;6;0;0;0;0;1
34;SOLTERO/A;LIC. EN EDUCACION FISICA (CICLO DE LICENCIATURA);1;D.A. S.FERNANDO;2014;30;1;0;24;1;1;1;0;LIBRE;8;1;5;1;3;2;2;2;7;5;9;0;0;0;0;0
35;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. SAN MIGUEL;2014;20;0;1;18;0;1;1;1;REGULAR;8;4;1;3;0;0;3;3;3;3;6;0;0;0;0;1
36;UNIDO/A;LICENCIATURA EN CS. DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;40;0;1;43;0;1;1;1;REGULAR;9,4;4;5;3;4;0;1;2;5;5;7;0;0;0;0;1
37;SOLTERO/A;TEC. UN. EN INSP. DE ALIMENTOS;1;SEDE LUJAN;2014;0;0;1;22;0;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;SOLTERO/A;PROF.EN ENSE¥ANZA MEDIA DE ADULTOS(CICLO PROF);1;C.R. SAN MIGUEL;2014;30;0;1;46;1;1;1;1;REGULAR;-;3;0;3;0;0;3;1;3;3;4;0;0;0;0;0
39;CASADO/A;PROF.EN ENSE¥ANZA MEDIA DE ADULTOS(CICLO PROF);1;C.R. SAN MIGUEL;2014;0;0;1;48;1;1;1;0;LIBRE;-;3;0;3;0;0;1;2;1;1;3;0;0;0;0;0
40;SOLTERO/A;PROF.EN ENSE¥ANZA MEDIA DE ADULTOS(CICLO PROF);1;C.R. SAN MIGUEL;2014;0;0;1;31;1;1;1;0;LIBRE;-;1;0;1;0;0;0;2;0;0;2;0;0;0;0;0
41;CASADO/A;PROF.EN ENSE¥ANZA MEDIA DE ADULTOS(CICLO PROF);1;C.R. SAN MIGUEL;2014;53;0;1;54;1;1;1;0;LIBRE;-;1;0;1;0;0;0;4;0;0;4;0;0;0;0;0
42;SEPARADO/A;PROF.EN ENSE¥ANZA MEDIA DE ADULTOS(CICLO PROF);1;C.R. SAN MIGUEL;2014;24;0;1;55;1;1;1;1;REGULAR;-;4;0;3;0;0;2;1;2;2;3;0;0;0;0;1
43;SOLTERO/A;PROF.EN ENSE¥ANZA MEDIA DE ADULTOS(CICLO PROF);1;C.R. SAN MIGUEL;2014;0;1;0;26;1;1;1;1;REGULAR;3,5;4;1;3;0;0;1;3;1;1;4;0;0;0;0;1
44;SOLTERO/A;LICENCIATURA EN HISTORIA (CICLO DE LICENCIATURA);1;SEDE LUJAN;2014;30;0;1;37;1;1;1;0;LIBRE;-;1;0;1;0;0;1;2;1;1;3;0;0;0;0;0
45;CASADO/A;PROFESORADO EN GEOGRAFIA;1;C.R. SAN MIGUEL;2014;0;0;1;34;0;1;1;1;REGULAR;7,88;4;8;3;6;0;0;1;6;6;7;0;0;0;0;1
46;CASADO/A;CONTADOR PUBLICO;1;SEDE LUJAN;2014;45;1;0;39;1;0;1;1;REGULAR;7;4;6;3;5;1;1;0;7;6;7;0;0;0;0;1
47;SOLTERO/A;LIC. EN INFORMACION AMBIENTAL;1;SEDE LUJAN;2014;30;0;1;38;1;1;1;1;LIBRE;-;2;0;2;0;3;0;4;3;0;7;0;1;0;0;0
48;SOLTERO/A;LIC. EN COMERCIO INTERNACIONAL;1;SEDE LUJAN;2014;35;0;1;46;1;1;1;1;REGULAR;7;4;1;3;1;5;1;1;7;2;8;0;0;0;1;1
49;DIVORCIADO/A;CONTADOR PUBLICO;1;SEDE LUJAN;2014;0;1;0;38;1;1;1;0;LIBRE;-;1;0;1;0;3;0;2;4;0;6;0;1;0;0;0
50;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;SEDE LUJAN;2014;9;1;0;27;1;1;1;1;LIBRE;7;2;1;2;1;2;0;1;3;1;4;0;0;0;0;0
51;UNIDO/A;INGENIERIA INDUSTRIAL;1;SEDE LUJAN;2014;40;1;0;39;1;1;1;1;LIBRE;4,5;2;2;2;0;1;1;1;3;1;4;0;0;0;0;0
52;CASADO/A;LICENCIATURA EN ADMINISTRACION;1;SEDE LUJAN;2014;0;0;1;33;1;1;1;0;LIBRE;-;1;0;1;0;1;1;3;2;1;5;0;0;0;0;0
53;CASADO/A;PROFESORADO EN HISTORIA;1;SEDE LUJAN;2014;40;1;0;39;1;1;1;1;LIBRE;5,33;2;2;2;2;3;2;2;7;4;9;0;0;0;0;0
54;CASADO/A;LICENCIATURA EN ENFERMERIA;1;SEDE LUJAN;2014;7;0;1;46;1;1;1;1;LIBRE/INHABILITADO;7,67;2;3;2;3;1;2;3;7;5;10;0;1;0;0;0
55;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;SEDE LUJAN;2014;49;1;0;25;0;1;1;1;LIBRE;9;2;1;2;1;1;0;4;2;1;6;0;0;0;0;0
56;CASADO/A;PROFESORADO EN HISTORIA;1;SEDE LUJAN;2014;40;1;0;42;1;1;1;1;REGULAR;3,75;4;2;3;1;3;4;2;8;5;10;0;0;0;0;1
57;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;SEDE LUJAN;2014;16;0;1;30;1;1;1;1;REGULAR;5,5;4;2;3;1;1;4;1;7;5;8;0;0;0;0;1
58;UNIDO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;SEDE LUJAN;2014;37;0;1;29;1;1;1;1;LIBRE;7,5;3;2;3;2;0;2;8;4;4;12;0;1;0;0;0
59;SEPARADO/A;LICENCIATURA EN TRABAJO SOCIAL;1;SEDE LUJAN;2014;40;1;0;29;1;1;1;1;LIBRE;-;2;0;2;0;5;0;2;6;0;8;0;0;0;1;0
60;CASADO/A;LICENCIATURA EN TRABAJO SOCIAL;1;SEDE LUJAN;2014;40;0;1;49;1;1;1;1;REGULAR;7,2;4;5;2;4;0;2;2;7;6;9;0;0;0;0;1
61;SEPARADO/A;LICENCIATURA EN ENFERMERIA;1;SEDE LUJAN;2014;30;1;0;25;1;1;1;1;LIBRE/INHABILITADO;-;3;0;3;0;0;0;2;0;0;2;0;1;0;0;0
62;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;SEDE LUJAN;2014;48;0;1;27;1;1;1;0;LIBRE;7;1;2;1;2;0;0;4;3;2;7;1;0;0;0;0
63;SEPARADO/A;LICENCIATURA EN TRABAJO SOCIAL;1;SEDE LUJAN;2014;0;1;0;45;1;1;1;0;LIBRE;2;3;0;3;0;2;2;2;5;2;7;0;0;0;0;0
64;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;SEDE LUJAN;2014;0;0;1;33;1;1;1;1;REGULAR;-;2;0;2;0;3;1;6;5;1;11;0;1;0;0;0
65;CASADO/A;CONTADOR PUBLICO;1;SEDE LUJAN;2014;48;1;0;39;0;1;1;1;REGULAR;-;4;0;3;0;1;0;6;1;0;7;0;1;0;0;1
66;CASADO/A;PROFESORADO EN CIENCIAS BIOLOGICAS;1;SEDE LUJAN;2014;48;1;0;29;1;1;1;0;LIBRE;-;1;0;1;0;0;0;4;0;0;4;0;1;0;0;0
67;CASADO/A;LIC. EN INFORMACION AMBIENTAL;1;SEDE LUJAN;2014;20;1;0;49;0;1;1;1;LIBRE;-;2;0;2;0;1;0;2;2;0;4;0;1;0;0;0
68;SOLTERO/A;INGENIERIA EN ALIMENTOS;1;SEDE LUJAN;2014;46;0;1;27;1;1;1;0;LIBRE;8;1;1;1;1;0;0;3;1;1;4;0;0;0;0;0
69;UNIDO/A;LICENCIATURA EN TRABAJO SOCIAL;1;SEDE LUJAN;2014;24;0;1;35;1;1;1;1;REGULAR;6,4;4;5;3;4;0;3;2;8;7;10;0;0;0;0;1
70;UNIDO/A;LICENCIATURA EN ADMINISTRACION;1;SEDE LUJAN;2014;8;1;0;39;1;1;1;0;LIBRE;2;3;0;3;0;0;2;0;2;2;2;0;0;0;0;0
71;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;SEDE LUJAN;2014;60;1;0;27;1;1;1;0;LIBRE;7;3;1;3;1;0;0;4;1;1;5;0;1;0;0;0
72;SEPARADO/A;CONTADOR PUBLICO;1;SEDE LUJAN;2014;50;1;0;35;0;1;1;0;LIBRE;-;1;0;1;0;0;0;3;0;0;3;0;0;0;0;0
73;SOLTERO/A;LICENCIATURA EN ENFERMERIA;1;SEDE LUJAN;2014;56;0;1;43;1;1;1;1;LIBRE/INHABILITADO;-;2;0;2;0;0;1;6;2;1;8;0;1;0;0;0
74;SOLTERO/A;LICENCIATURA EN CS. DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;24;0;1;38;1;1;1;0;LIBRE;-;1;0;1;0;1;0;1;1;0;2;0;0;0;0;0
75;CASADO/A;LICENCIATURA EN CS. DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;6;0;1;53;1;1;0;0;LIBRE/INHABILITADO;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;CASADO/A;PROFESORADO EN HISTORIA;1;SEDE LUJAN;2014;0;0;1;48;1;1;1;1;REGULAR;7,33;4;3;3;3;1;1;4;5;4;9;0;0;0;0;1
77;SOLTERO/A;TEC. UN. EN INSP. DE ALIMENTOS;1;SEDE LUJAN;2014;24;0;1;24;0;1;1;1;LIBRE;7,33;3;3;3;3;1;0;0;5;3;5;0;0;0;0;0
78;SOLTERO/A;CONTADOR PUBLICO;1;C.R. SAN MIGUEL;2014;40;1;0;29;0;1;1;1;LIBRE;9,5;2;2;2;2;0;0;2;2;2;4;0;0;0;0;0
79;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. SAN MIGUEL;2014;45;0;1;27;1;1;1;0;LIBRE;-;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0
80;SOLTERO/A;LIC. EN COMERCIO INTERNACIONAL;1;SEDE LUJAN;2014;36;0;1;30;0;1;1;1;REGULAR;8,5;4;2;3;2;2;1;3;5;3;8;0;0;0;0;1
81;CASADO/A;CONTADOR PUBLICO;1;SEDE LUJAN;2014;48;0;1;40;1;1;1;0;LIBRE;-;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0
82;SOLTERO/A;ESP.EN CALIDAD ECOLOGICA Y REST.DE SIST. FLUVIALES;0;SEDE LUJAN;2014;48;1;0;52;1;1;1;0;REGULAR;8,56;1;9;1;0;0;9;0;9;9;9;0;0;0;0;0
83;SOLTERO/A;PROFESORADO EN EDUCACION FISICA;1;C.R. SAN MIGUEL;2014;45;1;0;27;1;1;1;0;LIBRE;7;1;1;1;1;2;0;3;3;1;6;0;1;0;0;0
84;SOLTERO/A;CONTADOR PUBLICO;1;C.R. CHIVILCOY;2014;0;0;1;19;1;1;1;1;LIBRE;2;3;0;3;0;3;3;0;6;3;6;0;0;1;0;0
85;CASADO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;SEDE LUJAN;2014;0;0;1;49;0;1;0;0;LIBRE/INHABILITADO;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;0;0;1;41;0;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
87;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;0;0;1;38;1;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;0;0;1;46;0;1;0;0;LIBRE/INHABILITADO;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;CASADO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;SEDE LUJAN;2014;0;0;1;53;1;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;CASADO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;0;0;1;61;1;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;0;0;1;34;1;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;0;0;1;33;1;1;0;0;REGULAR;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;0;0;1;43;1;1;0;0;LIBRE/INHABILITADO;8,00;;1;0;0;0;0;0;0;0;0;0;0;0;0;0
94;CASADO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;20;0;1;46;0;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;40;1;0;38;1;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;SEDE LUJAN;2014;0;0;1;33;1;1;0;0;LIBRE/INHABILITADO;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;SEDE LUJAN;2014;0;0;1;30;1;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;0;0;1;33;0;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;0;0;1;34;1;1;0;0;LIBRE/INHABILITADO;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;20;1;0;31;1;1;0;0;REGULAR;-;4;0;3;0;0;0;0;0;0;0;0;0;0;0;1
101;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;0;0;1;31;1;1;1;0;LIBRE/INHABILITADO;9,25;1;4;1;1;0;2;0;3;3;3;0;0;0;0;0
102;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;SEDE LUJAN;2014;0;0;1;32;1;1;0;1;LIBRE;-;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
103;CASADO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;40;0;1;45;1;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104;CASADO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;SEDE LUJAN;2014;40;0;1;50;1;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;0;0;1;27;0;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
106;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;24;1;0;30;1;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;SEPARADO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;SEDE LUJAN;2014;0;0;1;44;1;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;SEDE LUJAN;2014;20;0;1;40;1;1;1;1;REGULAR;6;3;1;3;0;1;0;0;1;0;1;0;0;0;1;0
109;CASADO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;36;0;1;46;0;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;SEDE LUJAN;2014;0;0;1;42;1;1;0;0;LIBRE/INHABILITADO;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;SEDE LUJAN;2014;0;0;1;27;1;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;SEDE LUJAN;2014;0;0;1;26;1;1;0;0;REGULAR;-;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0
113;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;0;0;1;26;0;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;0;0;1;26;1;1;0;0;LIBRE;7;;1;0;0;0;0;0;0;0;0;0;0;0;0;0
115;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;0;0;1;26;0;1;1;0;LIBRE/INHABILITADO;10,00;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0
116;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;SEDE LUJAN;2014;0;0;1;25;1;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;SEDE LUJAN;2014;0;0;1;25;1;1;0;0;LIBRE/INHABILITADO;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;SEDE LUJAN;2014;0;0;1;25;1;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;SEDE LUJAN;2014;0;0;1;25;1;1;0;0;LIBRE/INHABILITADO;8,00;;1;0;0;0;0;0;0;0;0;0;0;0;0;0
120;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;SEDE LUJAN;2014;0;0;1;25;1;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;SEDE LUJAN;2014;8;0;1;25;1;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;SEDE LUJAN;2014;0;0;1;24;1;1;0;0;LIBRE;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;0;0;1;24;1;1;0;0;LIBRE/INHABILITADO;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;CASADO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;20;0;1;42;1;1;1;1;REGULAR;7;4;1;3;1;0;1;5;3;2;8;0;0;0;0;1
125;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. SAN MIGUEL;2014;24;1;0;23;0;1;1;1;LIBRE;5,75;2;3;2;3;0;1;2;4;4;6;0;0;0;0;0
126;SOLTERO/A;CONTADOR PUBLICO;1;C.R. CAMPANA;2014;9;1;0;41;0;1;1;0;LIBRE;-;1;0;1;0;2;0;1;2;0;3;0;0;0;1;0
127;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;SEDE LUJAN;2014;45;0;1;27;0;1;1;1;REGULAR;7,75;4;4;3;3;0;1;5;5;4;10;0;0;0;0;1
128;SOLTERO/A;CONTADOR PUBLICO;1;C.R. SAN MIGUEL;2014;45;0;1;27;1;1;1;1;REGULAR;6,4;4;5;3;1;1;0;0;2;1;2;0;0;0;0;1
